Link,Description
https://www.zalando.co.uk/tommy-jeans-college-pop-dobby-shirt-shirt-twilight-navy-tob22d09d-k11.html,COLLEGE POP DOBBY SHIRT - Shirt - twilight navy
https://www.zalando.co.uk/levis-barstow-western-standard-shirt-esta-noche-le222d07e-k22.html,BARSTOW WESTERN STANDARD - Shirt - esta noche
https://www.zalando.co.uk/jack-and-jones-premium-jprblatropic-resort-relax-shirt-covert-green-jam22d0av-m11.html,JPRBLATROPIC RESORT RELAX FIT - Shirt - covert green
https://www.zalando.co.uk/mango-claude-shirt-zielony-m9122d2et-m11.html,CLAUDE - Shirt - zielony
https://www.zalando.co.uk/jack-and-jones-jjesheridan-shirt-dark-navy-ja222d1ge-k15.html,JJESHERIDAN L/S NOOS - Shirt - dark navy
https://www.zalando.co.uk/kaotiko-shirt-mojave-unisex-shirt-brown-kai2100ep-o11.html,SHIRT MOJAVE UNISEX - Button-down blouse - brown
https://www.zalando.co.uk/polo-ralph-lauren-shirt-white-po222f02b-002.html,SLIM FIT OXFORD SHIRT - Shirt - white
https://www.zalando.co.uk/pier-one-shirt-beige-pi922d0cx-b12.html,Shirt - beige
https://www.zalando.co.uk/bruuns-bazaar-won-homer-shirt-boho-sand-br322d018-t11.html,WON HOMER - Shirt - boho sand
https://www.zalando.co.uk/only-and-sons-onsday-chambray-shirt-light-blue-denim-os322d0nc-k11.html,ONSDAY - Shirt - light blue denim
https://www.zalando.co.uk/pier-one-shirt-blue-denim-pi922d0c0-k11.html,DENIM SHIRT - Shirt - blue denim
https://www.zalando.co.uk/only-and-sons-onsalvaro-resort-shirt-dark-navy-os322d0np-k11.html,ONSALVARO RESORT - Shirt - dark navy
https://www.zalando.co.uk/denim-project-el-cuba-shirt-black-deo22d007-q13.html,CUBA SHIRT - Shirt - black
https://www.zalando.co.uk/pier-one-shirt-dark-blue-pi922d0bp-k11.html,Shirt - dark blue
https://www.zalando.co.uk/kronstadt-dean-diego-shirt-grey-kr122d01j-c11.html,DEAN DIEGO - Shirt - grey
https://www.zalando.co.uk/redefined-rebel-jorge-shirt-white-stripe-r0622d03q-a11.html,JORGE - Shirt - white stripe
https://www.zalando.co.uk/boss-biadia-r-shirt-dark-blue-two-bb122d1i4-k12.html,BIADIA R - Shirt - dark blue two
https://www.zalando.co.uk/abercrombie-and-fitch-getaway-swolo-print-t-shirt-lavender-a0f22p02l-i11.html,GETAWAY SWOLO  - Shirt - lavender
https://www.zalando.co.uk/wrangler-shirt-light-stone-wr122d09d-k12.html,Shirt - light stone
https://www.zalando.co.uk/mango-shirt-black-m9122d2h9-q11.html,POLA - Shirt - black
https://www.zalando.co.uk/drdenim-madi-shirt-bone-hour-dr122d00u-a12.html,MADI - Shirt - bone hour
https://www.zalando.co.uk/lindbergh-resort-collar-shirt-off-white-lg522d08h-a11.html,RESORT COLLAR - Shirt - off white
https://www.zalando.co.uk/boss-biado_r-shirt-dark-grey-bb122d1dl-c11.html,BIADO - Shirt - dark grey
https://www.zalando.co.uk/pier-one-shirt-black-pi922d0co-q11.html,Shirt - black
https://www.zalando.co.uk/polo-ralph-lauren-custum-fit-shirt-po222d0iu-k12.html,CUSTOM FIT OXFORD SHIRT - Shirt - blue/white
https://www.zalando.co.uk/jlindeberg-elio-diamond-shirt-navy-jl122d09x-k11.html,ELIO DIAMOND  - Shirt -  navy
https://www.zalando.co.uk/guess-shirt-red-gu122d0d5-g11.html,Shirt - red
https://www.zalando.co.uk/massimo-dutti-studio-relaxed-fit-shirt-dark-grey-m3i22d0ue-c11.html,STUDIO  - Shirt - dark grey
https://www.zalando.co.uk/pier-one-2-pack-formal-shirt-whitelight-blue-pi922d08g-a11.html,2 PACK - Formal shirt - white/light blue
https://www.zalando.co.uk/superdry-shirt-city-pink-su222d0mh-j11.html,OXFORD SHORT SLEEVE  - Shirt - city pink
https://www.zalando.co.uk/rag-and-bone-avery-shirt-whitemulti-coloured-r0722d01j-a11.html,AVERY - Shirt - white/multi-coloured
https://www.zalando.co.uk/jack-and-jones-jjeclassic-shirt-oatmeal-ja222d23i-a11.html,JJECLASSIC - Shirt - oatmeal
https://www.zalando.co.uk/wrangler-leon-shirt-washed-indigo-wr122d094-k11.html,LEON - Shirt - washed indigo
https://www.zalando.co.uk/lacoste-shirt-blanc-la222d064-a11.html,Shirt - blanc
https://www.zalando.co.uk/only-and-sons-onsbas-shirt-shirt-black-os322d0lf-q11.html,ONSBAS SHIRT  - Shirt - black
https://www.zalando.co.uk/levis-the-sunset-camp-shirt-shirt-white-le221002z-a13.html,THE SUNSET CAMP - Shirt - white
https://www.zalando.co.uk/hollister-co-shirt-black-floral-h0422d03z-q11.html,Shirt - black floral
https://www.zalando.co.uk/jack-and-jones-premium-jprblasummer-shirt-navy-blazer-jam22d0c0-k11.html,JPRBLASUMMER - Shirt - navy blazer
https://www.zalando.co.uk/boss-roan-kent-shirt-black-bb122d1eb-q11.html,ROAN KENT - Shirt - black
https://www.zalando.co.uk/boss-biado-shirt-white-bb122d1dl-a11.html,BIADO - Shirt - white
https://www.zalando.co.uk/g-star-marine-shirt-shamrock-gd-gs122d0n8-m13.html,MARINE SLIM L\S - Shirt - shamrock gd
https://www.zalando.co.uk/only-and-sons-onswayne-life-shirt-monks-robe-os322d09h-o11.html,ONSWAYNE LIFE SS NOOS - Shirt - monks robe
https://www.zalando.co.uk/gant-shirt-persian-blue-ga322d097-k12.html,REGULAR FIT - Shirt - persian blue
https://www.zalando.co.uk/obey-clothing-frogman-shirt-wild-rose-multi-ob022d02q-j11.html,FROGMAN - Shirt - wild rose multi
https://www.zalando.co.uk/jack-and-jones-jprblacardiff-shirt-white-ja222d2d3-a11.html,JPRBLACARDIFF SHIRT - Shirt - white
https://www.zalando.co.uk/pier-one-shirt-olive-pi922d0e6-n11.html,Shirt - olive
https://www.zalando.co.uk/superdry-merchant-shirt-optic-su222d0mj-a11.html,MERCHANT - Shirt - optic
